<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.05.08	9120.07	9244.34	9110.70	9225.19	92642	0	200
2020.05.11	9180.21	9346.38	9125.26	9287.20	102659	0	200
2020.05.12	9291.46	9352.25	9048.75	9051.50	111437	0	200
2020.05.13	9048.63	9209.75	8887.57	9020.00	129221	0	200
2020.05.14	9025.77	9111.57	8856.12	9096.40	133749	0	200
2020.05.15	9089.76	9156.49	8932.40	9104.29	120312	0	200
2020.05.18	9143.87	9368.09	9119.24	9323.60	104943	0	200
2020.05.19	9325.23	9423.50	9290.92	9303.20	111508	0	200
2020.05.20	9289.67	9500.14	9276.55	9496.10	98253	0	200
2020.05.21	9501.34	9513.52	9357.38	9362.40	126869	0	200
2020.05.22	9362.01	9421.36	9244.79	9410.11	103627	0	200
2020.05.25	9399.50	9539.90	9396.12	9533.17	45175	0	200
2020.05.26	9532.93	9607.05	9377.03	9414.80	98863	0	200
2020.05.27	9411.68	9511.78	9178.00	9444.60	109573	0	200
2020.05.28	9435.24	9568.32	9323.40	9462.40	107039	0	200
2020.05.29	9453.65	9583.51	9375.13	9579.60	108566	0	200
2020.06.01	9512.81	9609.20	9452.21	9596.40	96062	0	200
2020.06.02	9592.54	9672.16	9509.52	9660.70	90029	0	200
2020.06.03	9659.00	9730.55	9638.26	9693.10	95401	0	200
2020.06.04	9689.92	9744.22	9575.46	9645.60	103818	0	200
2020.06.05	9642.80	9846.55	9604.20	9810.98	94694	0	200
2020.06.08	9820.18	9902.52	9750.25	9884.80	97974	0	200
2020.06.09	9885.90	10006.77	9811.93	9962.40	101219	0	200
2020.06.10	9963.32	10155.19	9959.49	10087.00	104696	0	200
2020.06.11	10085.49	10104.99	9585.91	9620.30	128848	0	200
2020.06.12	9612.21	9849.36	9495.34	9646.32	86542	0	200
2020.06.15	9531.70	9813.96	9382.63	9811.30	83208	0	200
2020.06.16	9810.27	10012.36	9798.96	9968.60	78978	0	200
2020.06.17	9957.11	10058.47	9926.79	9996.70	73834	0	200
2020.06.18	9994.06	10038.78	9878.07	9998.50	77067	0	200
2020.06.19	9993.24	10120.32	9929.46	9931.34	72241	0	200
2020.06.22	9879.13	10145.15	9855.52	10132.50	73776	0	200
2020.06.23	10135.29	10306.86	9984.92	10187.30	77379	0	200
2020.06.24	10192.72	10251.64	9939.13	10025.20	84892	0	200
2020.06.25	10019.97	10117.91	9899.52	10107.40	81435	0	200
2020.06.26	10103.43	10131.04	9837.36	9879.07	73962	0	200
2020.06.29	9797.17	10007.75	9742.25	9996.90	81270	0	200
2020.06.30	9989.49	10182.64	9950.38	10150.00	69702	0	200
2020.07.01	10147.76	10321.27	10088.22	10268.20	65926	0	200
2020.07.02	10268.30	10431.56	10259.55	10358.80	68104	0	200
2020.07.03	10360.72	10398.62	10320.14	10352.11	33148	0	200
2020.07.06	10351.25	10624.37	10351.25	10606.90	71410	0	200
2020.07.07	10613.30	10703.96	10516.86	10536.20	76396	0	200
2020.07.08	10535.24	10683.29	10515.57	10682.50	76083	0	200
2020.07.09	10694.05	10784.16	10572.98	10735.30	75294	0	200
2020.07.10	10737.37	10854.39	10639.20	10850.14	76865	0	200
2020.07.13	10860.04	11069.83	10575.14	10611.00	79019	0	200
2020.07.14	10613.71	10703.51	10372.42	10655.50	91078	0	200
2020.07.15	10729.63	10779.16	10566.53	10701.20	82382	0	200
2020.07.16	10704.11	10710.99	10490.68	10547.10	82626	0	200
2020.07.17	10550.10	10681.84	10537.35	10633.24	67477	0	200
2020.07.20	10634.23	10970.79	10559.53	10959.60	72812	0	200
2020.07.21	10961.03	11068.68	10797.43	10856.10	76552	0	200
2020.07.22	10863.37	10926.98	10773.78	10855.70	80392	0	200
2020.07.23	10859.25	10948.68	10528.73	10576.30	82058	0	200
2020.07.24	10581.63	10609.88	10316.46	10470.99	88072	0	200
2020.07.27	10501.11	10693.54	10414.14	10692.10	77069	0	200
2020.07.28	10691.54	10768.14	10526.73	10557.80	75884	0	200
2020.07.29	10570.57	10710.42	10524.24	10709.80	67817	0	200
2020.07.30	10708.85	10905.70	10513.93	10901.50	80409	0	200
2020.07.31	10917.99	10949.10	10703.41	10915.37	83136	0	200
2020.08.03	10943.47	11084.48	10887.61	11063.70	69743	0	200
2020.08.04	11063.62	11106.75	10993.50	11090.20	69540	0	200
2020.08.05	11090.51	11156.58	11068.41	11108.00	64162	0	200
2020.08.06	11103.60	11281.09	11062.06	11268.00	70949	0	200
2020.08.07	11265.11	11289.36	11044.11	11132.49	75503	0	200
2020.08.10	11149.17	11154.94	10938.27	11087.10	66420	0	200
2020.08.11	11074.58	11164.37	10855.42	10919.20	72372	0	200
2020.08.12	10950.23	11189.58	10887.63	11122.40	70372	0	200
2020.08.13	11121.02	11272.42	11100.43	11187.50	67964	0	200
2020.08.14	11184.85	11242.22	11103.97	11143.40	66151	0	200
2020.08.17	11147.80	11305.13	11147.80	11291.40	54581	0	200
2020.08.18	11288.77	11421.03	11274.71	11419.00	59835	0	200
2020.08.19	11415.07	11439.84	11303.59	11322.30	60265	0	200
2020.08.20	11320.96	11498.02	11224.51	11481.70	69238	0	200
2020.08.21	11482.53	11575.36	11408.64	11563.77	68231	0	200
2020.08.24	11583.90	11725.53	11531.56	11636.10	71384	0	200
2020.08.25	11638.02	11744.83	11578.27	11739.00	74375	0	200
2020.08.26	11740.85	12004.77	11728.35	11987.90	68775	0	200
2020.08.27	11984.20	12048.11	11839.00	11948.30	74651	0	200
2020.08.28	11951.46	12019.89	11921.35	11989.42	75119	0	200
2020.08.31	12007.39	12166.46	11990.55	12109.30	69912	0	200
2020.09.01	12112.39	12329.03	12094.65	12328.50	74058	0	200
2020.09.02	12323.70	12465.02	12173.12	12407.50	76677	0	200
2020.09.03	12409.18	12436.69	11660.78	11802.80	88499	0	200
2020.09.04	11731.49	11842.31	11140.96	11550.63	101348	0	200
2020.09.07	11532.38	11546.25	11308.13	11512.50	52024	0	200
2020.09.08	11506.75	11584.38	11043.74	11045.70	94473	0	200
2020.09.09	10977.85	11480.25	10937.85	11372.90	89665	0	200
2020.09.10	11379.95	11566.88	11093.05	11178.20	90502	0	200
2020.09.11	11195.91	11357.67	10941.26	11065.78	72846	0	200
2020.09.14	11106.06	11362.54	11104.06	11272.00	72428	0	200
2020.09.15	11281.48	11494.37	11247.14	11460.70	67657	0	200
2020.09.16	11467.31	11548.67	11237.57	11262.60	74995	0	200
2020.09.17	11271.30	11301.78	10917.38	11080.30	92285	0	200
2020.09.18	11073.47	11176.45	10764.58	10946.60	87526	0	200
2020.09.21	10937.66	11025.66	10675.83	10998.00	96224	0	200
2020.09.22	10980.80	11206.70	10913.66	11168.00	88125	0	200
2020.09.23	11174.57	11237.31	10805.34	10836.90	86706	0	200
2020.09.24	10816.62	11027.41	10678.98	10923.90	98492	0	200
2020.09.25	10932.59	11179.06	10828.19	11148.65	83311	0	200
2020.09.28	11159.59	11413.80	11153.47	11405.00	75827	0	200
2020.09.29	11394.06	11457.85	11301.24	11329.50	77443	0	200
2020.09.30	11324.77	11535.50	11179.33	11367.10	90600	0	200
2020.10.01	11392.37	11606.39	11390.37	11581.10	80409	0	200
2020.10.02	11576.71	11612.30	11221.45	11248.12	93607	0	200
2020.10.05	11326.96	11510.57	11283.34	11482.40	73317	0	200
2020.10.06	11484.06	11537.76	11212.39	11218.60	76619	0	200
2020.10.07	11232.26	11518.88	11223.89	11488.80	75246	0	200
2020.10.08	11485.15	11591.43	11484.72	11572.80	70695	0	200
2020.10.09	11574.84	11738.10	11565.28	11738.10	64586	0	200
2020.10.12	11733.44	12205.08	11705.21	12096.00	79887	0	200
2020.10.13	12107.92	12256.42	12028.14	12086.90	91020	0	200
2020.10.14	12087.49	12183.06	11911.15	11951.70	79329	0	200
2020.10.15	11955.65	11990.63	11746.11	11891.50	84964	0	200
2020.10.16	11904.48	12033.34	11803.62	11808.49	77726	0	200
2020.10.19	11829.33	11960.94	11605.75	11705.00	77218	0	200
2020.10.20	11715.74	11801.15	11612.04	11661.70	84464	0	200
2020.10.21	11693.25	11790.30	11597.62	11697.10	82944	0	200
2020.10.22	11685.49	11734.15	11524.80	11667.60	77548	0	200
2020.10.23	11684.59	11703.05	11564.79	11673.21	70526	0	200
2020.10.26	11645.32	11708.13	11359.20	11511.10	77855	0	200
2020.10.27	11511.69	11634.45	11491.58	11565.50	76269	0	200
2020.10.28	11564.99	11577.77	11138.22	11188.00	87018	0	200
2020.10.29	11195.12	11467.19	11156.96	11254.80	89719	0	200
2020.10.30	11221.07	11291.55	10958.75	11085.69	94729	0	200
2020.11.02	11046.19	11223.38	10955.46	11086.50	87309	0	200
2020.11.03	11081.87	11358.00	11076.62	11255.50	79285	0	200
2020.11.04	11275.44	11851.64	11241.34	11821.70	114994	0	200
2020.11.05	11834.93	12123.94	11778.96	12097.00	89176	0	200
2020.11.06	12082.96	12112.20	11873.11	12091.94	87960	0	200
